,name,country,type,factor,position,club,values,
0,Gregor Kobel,ch,player,5.555555555555555,GK,Borussia Dortmund,"100,18,0,0,4,2,4,7,3,2,2,3,2,4",
0,Yvon Mvogo,ch,player,1.1111111111111112,GK,Lorient,"0,0,0,100,12,4,5,10,3,2,0,2,0,3",
0,Yann Sommer,ch,player,1.2820512820512822,GK,Inter Milan,"81,0,0,48,71,30,27,100,36,23,23,30,36,64",
0,Manuel Akanji,ch,player,0.49,DF,Manchester City,"0,0,0,0,11,18,17,49,14,7,9,10,12,20",
0,Nico Elvedi,ch,player,0.83,DF,Borussia Mönchengladbach,"0,0,0,83,9,3,8,45,6,4,3,4,5,8",
0,Ricardo Rodriguez,ch,player,0.75,DF,Torino,"0,0,0,0,8,5,10,75,22,10,9,10,12,17",
0,Fabian Schär,ch,player,0.17,DF,Newcastle United,"0,0,0,0,9,5,7,17,7,4,3,5,5,9",
0,Leonidas Stergiou,ch,player,0.69,DF,VfB Stuttgart,"0,0,0,58,26,6,20,69,7,7,5,5,4,6",
0,Silvan Widmer,ch,player,0.74,DF,Mainz 05,"0,0,0,0,5,3,4,74,9,0,2,5,4,6",
0,Cédric Zesiger,ch,player,0.2,DF,VfL Wolfsburg,"0,0,0,0,3,0,6,20,3,2,0,3,3,5",
0,Michel Aebischer,ch,player,0.32,MF,Bologna,"0,0,0,0,3,0,5,32,3,3,0,2,3,5",
0,Remo Freuler,ch,player,0.29,MF,Bologna,"0,0,0,0,4,4,3,29,5,5,7,6,5,7",
0,Ardon Jashari,ch,player,0.2,MF,Luzern,"0,0,0,0,8,6,18,20,9,3,4,7,6,9",
0,Fabian Rieder,ch,player,0.11,MF,Rennes,"0,0,0,0,8,2,11,11,3,3,4,2,3,4",
0,Xherdan Shaqiri,ch,player,1.7857142857142858,MF,Chicago Fire FC,"0,0,0,100,27,16,18,94,25,17,21,20,60,79",
0,Vincent Sierro,ch,player,0.75,MF,Toulouse,"0,0,0,75,11,8,19,43,14,2,3,3,5,6",
0,Granit Xhaka,ch,player,1.0416666666666667,MF,Bayer Leverkusen,"62,0,0,52,28,31,30,96,30,26,27,28,80,100",
0,Denis Zakaria,ch,player,0.14,MF,Monaco,"0,0,0,0,3,3,6,14,4,0,4,4,5,5",
0,Zeki Amdouni,ch,player,1.1235955056179776,FW,Burnley,"0,0,0,100,26,7,12,51,11,8,10,8,12,19",
0,Kwadwo Duah,ch,player,3.125,FW,Ludogorets Razgrad,"0,0,0,100,27,5,12,8,3,2,2,1,1,3",
0,Breel Embolo,ch,player,0.56,FW,Monaco,"0,0,0,0,16,9,14,56,28,15,13,14,17,33",
0,Dan Ndoye,ch,player,1.1764705882352942,FW,Bologna,"0,0,0,100,14,5,9,73,10,5,3,4,3,8",
0,Noah Okafor,ch,player,0.62,FW,Milan,"0,0,0,0,12,6,6,62,11,9,7,4,5,9",
0,Renato Steffen,ch,player,0.99,FW,Lugano,"0,99,0,0,6,4,6,8,3,0,8,4,3,3",
0,Ruben Vargas,ch,player,1.0869565217391304,FW,Augsburg,"0,0,0,0,12,4,16,100,15,8,7,7,8,19",
0,Andi Zeqiri,ch,player,0.49,FW,Genk,"0,0,0,0,10,5,49,24,5,2,0,0,0,2",
0,Steven Zuber,ch,player,2.4390243902439024,FW,AEK,"0,0,0,100,25,7,7,47,19,11,7,8,8,8",
0,Murat Yakin /m/021xh2.3,ch,trainer,1.0,,,"0,0,0,0,15,8,33,100,23,12,12,13,42,45",
0,empty2ch,0,empty,0.0,,,"0,0,0,0,0,0,0,0,0,0,0,0,0,0", 
0,empty1ch,0,empty,0.0,,,"0,0,0,0,0,0,0,0,0,0,0,0,0,0", 
0,Manuel Neuer,de,player,0.92,GK,Bayern Munich,"8,5,15,6,5,4,19,18,6,6,7,5,6,92",
0,Oliver Baumann,de,player,0.02,GK,Hoffenheim,"0,0,0,0,0,0,2,1,0,0,0,0,0,2",
0,Marc-Andre Ter Stegen,de,player,0.14,GK,Barcelona,"9,6,3,3,4,3,7,7,3,3,3,2,3,14",
0,Antonio Rudiger,de,player,0.77,DF,Real Madrid,"26,6,5,3,7,3,9,3,2,2,4,5,5,77",
0,Nico Schlotterbeck,de,player,0.12,DF,Borussia Dortmund,"12,2,1,1,1,0,3,1,1,1,1,1,1,3",
0,David Raum,de,player,0.03,DF,RB Leipzig,"1,0,1,1,0,1,3,1,0,0,0,0,0,1",
0,Waldemar Anton,de,player,0.08,DF,Stuttgart,"1,1,8,1,1,0,1,0,0,0,1,1,1,2",
0,Jonathan Tah,de,player,0.35,DF,Bayer Leverkusen,"1,4,9,2,5,3,4,1,1,2,4,3,3,35",
0,Robin Koch,de,player,0.05,DF,Eintracht Frankfurt,"0,0,5,1,1,1,1,0,0,0,0,0,0,2",
0,Maximilian Mittelstädt,de,player,0.5,DF,Stuttgart,"1,0,9,1,1,1,3,1,1,1,1,1,1,50",
0,Benjamin Henrichs,de,player,0.03,DF,RB Leipzig,"0,0,0,0,0,0,3,1,0,0,0,0,0,1",
0,Joshua Kimmich,de,player,0.3,DF/MF,Bayern Munich,"7,4,8,2,2,2,5,2,2,2,2,6,3,30",
0,Ilkay Gundogan,de,player,0.67,MF,Barcelona,"5,2,6,2,2,2,6,2,1,1,1,1,2,67",
0,Leroy Sane,de,player,0.44,MF,Bayern Munich,"2,2,5,1,2,2,5,2,1,1,1,1,2,44",
0,Jamal Musiala,de,player,1.492537313432836,MF,Bayern Munich,"2,1,8,2,2,2,5,2,1,1,1,3,3,100",
0,Pascal Gross,de,player,0.24,MF,Brighton,"0,1,16,1,0,0,24,11,2,1,1,1,1,17",
0,Emre Can,de,player,0.45,MF,Borussia Dortmund,"12,1,0,0,0,0,0,0,0,0,0,11,4,45",
0,Robert Andrich,de,player,0.48,MF,Bayer Leverkusen,"1,1,12,1,1,1,4,1,0,0,0,1,1,48",
0,Chris Fuhrich,de,player,0.04,MF,Stuttgart,"0,0,4,1,0,0,1,1,0,0,1,1,1,2",
