,name,country,type,factor,position,club,values,
0,Etrit Berisha,al,player,0.27,GK,Empoli,"0,5,0,5,0,4,0,4,4,22,12,5,4,27,7,0",
0,Elhan Kastrati,al,player,0.05,GK,Cittadella,"0,4,5,0,0,0,0,0,0,5,0,0,0,0,0,0",
0,Thomas Strakosha,al,player,1.6129032258064515,GK,Brentford,"0,10,5,0,0,0,2,0,0,56,18,6,6,100,30,0",
0,Iván Balliu,al,player,0.11,DF,Rayo Vallecano,"0,0,0,0,0,7,0,0,4,6,7,9,5,11,6,0",
0,Mario Mitaj,al,player,0.93,DF,Lokomotiv Moscow,"0,19,11,5,0,4,0,0,13,34,19,22,14,93,38,0",
0,Elseid Hysaj,al,player,1.639344262295082,DF,Lazio,"0,9,2,4,4,0,3,2,3,26,100,93,48,86,33,0",
0,Arlind Ajeti,al,player,0.37,DF,CFR Cluj,"0,10,0,0,0,6,4,0,0,19,4,5,0,37,4,0",
0,Berat Djimsiti,al,player,0.71,DF,Atalanta,"0,10,5,6,4,6,5,8,17,49,21,15,17,71,25,0",
0,Enea Mihaj,al,player,0.05,DF,Famalicão,"0,0,0,0,0,0,0,0,0,5,0,0,0,5,0,0",
0,Ardian Ismajli,al,player,0.04,DF,Empoli,"0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0",
0,Marash Kumbulla,al,player,0.07,DF,Sassuolo,"0,0,0,0,0,0,0,0,0,7,0,0,0,5,4,0",
0,Naser Aliji,al,player,0.07,DF,Voluntari,"0,7,0,0,0,0,0,0,0,4,0,0,0,0,0,0",
0,Klaus Gjasula,al,player,2.380952380952381,MF,Darmstadt 98,"0,0,0,0,0,0,0,0,0,0,0,0,0,100,44,22",
0,Nedim Bajrami,al,player,1.4285714285714286,MF,Sassuolo,"0,17,12,8,5,4,7,6,6,86,100,43,22,95,63,38",
0,Qazim Laçi,al,player,3.7037037037037037,MF,Sparta Prague,"0,5,2,0,0,0,2,0,1,5,1,0,0,100,14,0",
0,Medon Berisha,al,player,0.06,MF,Lecce,"0,0,4,0,0,0,0,0,0,5,0,6,0,6,6,0",
0,Ernest Muçi,al,player,0.28,MF,Beşiktaş,"0,9,7,5,3,4,4,5,6,28,19,10,6,27,13,0",
0,Ylber Ramadani,al,player,0.26,MF,Lecce,"0,5,0,5,0,0,6,0,0,14,13,7,0,26,7,0",
0,Kristjan Asllani,al,player,1.0204081632653061,MF,Inter Milan,"0,9,9,7,6,6,4,14,12,72,48,31,19,100,56,0",
0,Amir Abrashi,al,player,0.06,MF,Grasshoppers,"0,4,0,0,0,0,0,0,0,5,0,0,0,6,3,0",
0,Rey Manaj,al,player,1.0,FW,Sivasspor,"0,20,11,0,4,0,5,0,6,51,28,13,11,100,31,0",
0,Jasir Asani,al,player,1.2345679012345678,FW,Gwangju,"0,17,14,10,7,6,8,11,14,63,28,22,17,100,41,0",
0,Armando Broja,al,player,1.3888888888888888,FW,Fulham,"0,20,21,21,12,9,8,13,15,100,43,26,16,61,30,0",
0,Taulant Seferi,al,player,1.0204081632653061,FW,Baniyas,"0,15,7,5,5,4,5,7,10,64,44,21,13,100,39,0",
0,Mirlind Daku,al,player,0.49,FW,Rubin Kazan,"0,4,0,0,0,0,0,6,7,6,9,5,5,35,37,49",
0,Arbër Hoxha,al,player,1.5873015873015872,FW,Dinamo Zagreb,"0,17,6,3,0,0,0,0,0,39,11,5,5,100,59,0",
0,Sylvinho /m/07zr38,al,trainer,1.0,,,"0,17,8,7,4,0,9,12,17,85,33,15,23,100,46,0",
0,empty2al,0,empty,0.0,,,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0", 
0,empty1al,0,empty,0.0,,,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0", 
0,Alex Remiro,es,player,0.09,GK,Real Sociedad,"0,4,5,2,1,1,1,2,2,9,3,2,2,1,6,0",
0,David Raya,es,player,0.15,GK,Arsenal,"8,3,5,1,1,1,1,2,2,15,3,2,2,2,7,4",
0,Unai Simon,es,player,1.408450704225352,GK,Athletic Bilbao,"0,3,12,3,2,5,3,3,4,93,18,63,41,19,100,27",
0,Alex Grimaldo,es,player,0.92,DF,Bayer Leverkusen,"13,43,92,13,10,8,6,6,11,59,11,5,5,4,20,16",
0,Aymeric Laporte,es,player,1.694915254237288,DF,Al Nassr,"5,5,14,11,7,5,4,9,12,23,7,6,5,4,100,35",
0,Dani Carvajal,es,player,2.857142857142857,DF,Real Madrid,"7,7,13,6,4,4,5,4,7,100,21,11,7,6,42,15",
0,Daniel Vivian,es,player,0.21,DF,Athletic Bilbao,"0,21,10,4,2,2,2,4,4,12,3,1,2,3,21,5",
0,Jesus Navas,es,player,0.54,DF,Sevilla,"0,10,54,9,7,4,4,4,7,27,7,5,7,5,27,10",
0,Marc Cucurella,es,player,10.0,DF,Chelsea,"0,1,10,1,0,0,0,0,1,70,8,3,2,1,100,41",
0,Nacho,es,player,0.82,DF,Real Madrid,"15,22,31,14,9,9,8,21,27,82,21,15,13,11,37,20",
0,Robin Le Normand,es,player,3.3333333333333335,DF,Real Sociedad,"0,4,10,8,5,8,8,5,4,65,8,4,3,4,100,35",
0,Álex Baena,es,player,1.1764705882352942,MF,Villarreal,"7,6,6,2,1,1,1,1,2,14,2,1,2,2,100,16",
0,Fabian Ruiz,es,player,6.666666666666667,MF,France Paris Saint-Germain,"0,1,5,1,0,0,0,0,0,100,22,5,1,3,39,13",
0,Fermin Lopez,es,player,0.25,MF,Barcelona,"14,14,17,7,5,6,12,15,8,25,8,7,13,7,13,10",
0,Martin Zubimendi,es,player,0.72,MF,Real Sociedad,"0,3,3,3,1,2,2,2,2,72,4,2,4,2,5,3",
0,Mikel Merino,es,player,0.44,MF,Real Sociedad,"30,19,14,6,4,4,10,6,4,44,5,3,18,15,33,10",
0,Pedri,es,player,1.6666666666666667,MF,Barcelona,"9,8,32,16,9,13,8,7,10,59,14,8,8,8,100,23",
0,Rodri,es,player,1.6666666666666667,MF,Manchester City,"4,5,14,4,4,6,4,4,11,100,26,8,7,7,76,26",
0,Alvaro Morata,es,player,4.0,FW,Atletico Madrid,"2,4,13,4,3,4,4,12,9,100,26,9,7,8,58,14",
0,Ayoze Perez,es,player,3.3333333333333335,FW,Real Betis,"17,15,10,2,1,1,1,2,4,6,1,1,1,1,100,31",
0,Dani Olmo,es,player,1.4705882352941178,FW,RB Leipzig,"0,3,5,2,2,3,3,6,7,100,9,3,6,7,13,6",
0,Ferran Torres,es,player,0.42,FW,Barcelona,"9,10,8,4,3,3,14,6,6,42,6,5,5,4,38,12",
0,Joselu,es,player,0.42,FW,Real Madrid,"17,19,32,14,9,11,11,16,15,42,15,9,10,8,31,16",
0,Lamine Yamal,es,player,6.25,FW,Barcelona,"6,6,17,8,4,11,12,8,10,100,30,14,15,22,99,45",
0,Mikel Oyarzabal,es,player,0.34,FW,Real Sociedad,"12,6,15,4,2,2,2,2,2,34,3,2,2,3,26,6",
0,Nico Williams,es,player,5.0,FW,Athletic Bilbao,"4,3,9,4,3,3,4,6,5,28,7,4,3,5,100,80",
0,Luis de la Fuente /g/120_rrs7,es,trainer,1.0,,,"11,31,24,7,4,5,5,6,14,87,22,8,19,19,100,60",
0,empty2es,0,empty,0.0,,,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0", 
0,empty1es,0,empty,0.0,,,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0", 
0,Dominik Livakovic,hr,player,0.61,GK,Fenerbahçe,"0,7,25,11,6,9,11,12,12,44,19,12,11,61,21,8",
0,Ivica Ivusic,hr,player,0.13,GK,Cyprus Pafos,"0,0,3,0,0,3,2,2,2,2,0,1,0,13,2,0",
0,Nediljko Labrović,hr,player,0.3,GK,Rijeka,"0,1,4,2,2,30,18,6,4,5,2,0,3,4,3,0",
0,Borna Sosa,hr,player,0.42,DF,Netherlands Ajax,"0,2,7,5,4,4,8,16,14,30,11,9,7,42,12,0",
0,Domagoj Vida,hr,player,0.23,DF,AEK Athens,"0,4,8,4,4,11,11,3,6,21,11,6,6,23,10,0",
0,Josip Juranovic,hr,player,0.36,DF,Union Berlin,"0,3,5,3,2,2,3,3,4,11,7,11,24,36,8,0",
0,Josip Stanišić,hr,player,0.61,DF,Bayer Leverkusen,"0,1,18,11,8,6,4,5,9,61,12,5,4,15,5,0",
0,Josip Šutalo,hr,player,0.9,DF,Netherlands Ajax,"0,2,16,6,7,9,4,5,6,73,13,6,6,90,18,7",
0,Josko Gvardiol,hr,player,1.694915254237288,DF,Manchester City,"0,9,49,29,18,18,23,33,32,100,37,23,21,71,32,18",
0,Marin Pongračić,hr,player,2.857142857142857,DF,Lecce,"0,1,29,9,5,3,2,4,6,100,12,5,3,4,3,0",
0,Martin Erlic,hr,player,0.27,DF,Sassuolo,"0,2,7,6,4,4,4,3,8,27,22,8,5,15,8,0",
0,Lovro Majer,hr,player,0.82,MF,VfL Wolfsburg,"0,5,22,10,7,8,10,10,9,82,26,23,11,51,16,7",
0,Luka Ivanušec,hr,player,0.1,MF,Netherlands Feyenoord,"0,1,9,3,2,1,4,10,3,6,3,2,2,5,5,0",
0,Luka Modric,hr,player,2.9411764705882355,MF,Real Madrid,"23,21,63,33,18,18,19,20,32,100,38,21,36,84,46,24",
0,Luka Sucic,hr,player,2.9411764705882355,MF,Red Bull Salzburg,"0,3,24,11,3,2,2,2,2,27,5,2,3,100,20,11",
0,Marcelo Brozovic,hr,player,0.84,MF,Al Nassr,"0,9,33,12,5,5,5,5,8,57,29,16,19,84,58,30",
0,Mario Pasalic,hr,player,0.6,MF,Atalanta,"0,4,13,4,3,4,4,5,6,37,10,7,29,60,14,7",
0,Martin Baturina,hr,player,1.639344262295082,MF,Dinamo Zagreb,"0,3,5,4,2,2,3,9,5,7,4,2,3,100,14,8",
0,Mateo Kovacic,hr,player,0.67,MF,Manchester City,"0,5,21,9,6,17,13,9,11,61,26,20,13,67,29,13",
0,Nikola Vlašić,hr,player,0.43,MF,Torino,"0,2,10,3,3,2,1,2,2,6,5,2,30,43,42,18",
0,Andrej Kramarić,hr,player,1.639344262295082,FW,TSG Hoffenheim,"0,1,9,4,3,3,3,4,5,34,9,13,7,100,22,7",
0,Ante Budimir,hr,player,1.3513513513513513,FW,Osasuna,"0,2,44,21,16,6,16,9,7,100,12,6,4,87,15,5",
0,Bruno Petkovic,hr,player,0.94,FW,Dinamo Zagreb,"0,7,17,9,9,14,17,12,14,83,94,57,31,72,21,12",
